Source	Target	Interaction
MAPK1	CSNK2A1	+
MAPK1	DAPK1	+
MAPK1	DUSP1	+
MAPK1	EIF2AK2	+
MAPK1	EXOC7	+
MAPK1	GAB1	-
MAPK1	HIF1A	+
MAPK1	IRS1	-
MAPK1	L1CAM	+
MAPK1	MAFA	+
MAPK1	MAPK3	+
MAPK1	NCF1	+
MAPK10	BCL2L11	+
MAPK10	CDC25C	-
MAPK10	DIABLO	-
MAPK10	MAPK8IP3	+
MAPK11	ATF2	+
MAPK11	EGFR	-
MAPK11	HBP1	+
MAPK11	MAPKAPK5	+
MAPK11	NFE2L2	-
MAPK11	RPS6KA5	+
MAPK11	SMAD2	+
MAPK11	TAB1	-
MAPK11	TWIST1	+
MAPK12	ATF2	+
MAPK12	MAPKAPK5	+
MAPK12	NFE2L2	-
MAPK12	SNTA1	+
MAPK13	ATF2	+
MAPK13	NFE2L2	-
MAPK13	PRKD1	-
MAPK14	BAX	+
MAPK14	BAZ1B	+
MAPK14	BCL2	-
MAPK14	CASP3	-
MAPK14	CASP8	-
MAPK14	CCND1	+
MAPK14	CCND2	-
MAPK14	CDC25A	-
MAPK14	CDC25B	-
MAPK14	CDKN1A	+
MAPK14	CDT1	+
MAPK14	CFLAR	+
MAPK14	DDB2	-
MAPK14	DDIT3	+
MAPK14	DUSP1	+
MAPK14	DYRK1B	-
MAPK14	EGFR	-
MAPK14	EIF4EBP1	-
MAPK14	ELAVL1	+
MAPK14	GADD45A	+
MAPK14	H3F3B	+
MAPK14	MAP3K11	-
MAPK14	MAPK3	-
MAPK14	PAK6	+
MAPK14	PPP2CA	+
MAPK14	PRKACA	-
MAPK8IP3	MAP2K7	+
MAPK8IP3	MAP3K11	+
MAPK9	BAZ1B	+
MAPK9	CDC25C	-
MAPK9	H2AFX	+
MAPK9	H3F3B	+
MAPK9	IRS1	+
MAPK9	MAPK8IP1	+
MAPK9	MAPK8IP3	+
MAPK9	PSEN1	+
MAPK9	YWHAZ	-
MAPKAPK5	DNAJB1	+
