Source	Target	Relation
MYL4	MYL5	0
GIT2	CLTA	+
NRG1	MAP2K1	+
PSMD4	HSPB1	0
RXRG	UBC	+
UBR1	PSMB9	0
CD226	RBM39	+
GTF2H1	GTF2F2	+
PPP3R2	CDC20	+
DAXX	AR	-
LRP1	FZD1	+
CSTF3	CPSF1	+
NR3C1	SERPINE1	-
FTL	RPS23	0
HRAS	PIM1	+
WDR77	GEMIN7	+
ZAP70	CD8B	0
INSR	AKT2	+
CRP	ICAM1	+
RPL24	RPS29	0
GNB1	FGR	+
VTN	FPR1	-
RPS4Y1	RPS15A	0
CBLB	TYK2	-
RPS26	RPS11	0
RPL37	RPS17	0
IL4	IL2	-
ADIPOQ	FAS	-
RAPGEF3	RASSF5	+
TGFA	FGFR1	+
SOST	LRP6	+
PDGFRB	PIK3R1	0
GRB2	PTPN11	0
PSMD3	CDC26	+
ATM	TAOK3	+
PIK3R1	NFKB1	+
CDK9	MMP9	+
PRKAR1B	LAMA1	-
FGF7	GRB2	0
LGALS3	IL6	+
PSME3	POMP	0
MAP3K7	IKBKB	+
CREBBP	CTNNB1	0
ONECUT1	CCND1	+
ACTN1	AGRN	-
PSMD1	PSMD5	0
LOC100291837	RPL26	0
CASP3	PROKR1	-
TRIM28	TFDP2	+
EDNRA	ADCY4	+
TUBB	CEP78	0
HLA-DRA	SHC1	+
MAP3K1	MAP2K1	+
ANAPC2	CDC23	+
NCOA2	PTPN11	0
GNA13	CYTH1	+
HIF1A	CDKN1A	+
RIPK2	SQSTM1	0
ERCC3	ERCC4	+
LAMA5	AKT1	+
NUP88	SLBP	+
CD63	LTK	+
TFDP1	SERPINE1	-
CCL15	CREB3	+
PRKACB	PLN	-
TAF9	CCND2	+
EIF3F	EIF3I	0
TP53	MMP2	+
LOC646048	TMSL3	0
NAMPT	INSR	+
FOXM1	CCNB2	+
BMPR1B	MLX	+
PTK2B	KHDRBS2	+
PRKCB	ICAM1	+
MET	SH3GLB1	0
BTK	MAPK8	+
HSPA1L	MAPK10	-
IL9	IL9R	+
GSK3B	DVL2	0
MAX	CCL5	-
DCTN3	KLC1	-
MTOR	EIF3H	+
RPS6	LOC100291837	0
CDKN2A	FOXM1	0
GTF2F1	GTF3A	0
CHRD	GATA4	-
CLASP1	CP110	0
MTOR	YY1	0
PPP2R1A	PICALM	+
KLK6	CDH1	+
MAP3K7	TNF	0
BMP5	MAPK1	+
WHSC2	GTF2F2	0
ARNT	HK1	+
IL6	SGK1	+
RPL7A	RPS20	0
CTNND1	RAC1	+
PSMD14	PSMD6	0
TGFBR2	UBE2V2	+
AURKB	KIF2C	-
ATR	FANCA	+
MYB	MYOD1	0
MAPK8	APOF	+
IL1RN	TOLLIP	-
COL1A2	ITGA7	+
GAB2	EPS15	+
PPP2R4	RBL1	+
VEGFA	NOS3	+
GH1	TP53	+
CASP9	EIF4E	+
HDAC3	MEF2C	-
LAMA1	ITGA11	+
CBL	FLT1	-
MAPK3	ELK1	+
EFNB2	HRAS	-
CACNA1S	CACNB3	0
RHOA	MAPK9	+
LPAR2	NFKBIA	-
FGFR2	SOS1	0
THBS2	SDC3	+
MYL6B	MYOM1	0
SPP1	ITGA6	+
RASGRP2	CACNA1E	0
AP2S1	CLTA	0
TNFRSF1B	BIRC2	+
POLR2G	ERCC3	0
GNAQ	PLCB3	0
GNA12	GNB1	0
MAPK3	MAPKSP1	0
CFL1	LOC646048	0
HDAC1	KLF4	+
STK25	ASAP3	+
RAP1B	VAV2	+
RPLP2	RPS15A	0
RARA	NRIP1	0
NFKBIA	REL	0
NOX3	MMP9	+
CSNK1D	CEP152	0
NUP210	NUP153	0
TGFB1	IGFBP1	-
PPP1CC	CREB1	-
UBR1	ANAPC2	+
HBA1	RPS20	0
NFKB1	APOB	+
EPHA3	EPHA3	+
KHDRBS1	MAPK3	+
RAC1	RPS6KB1	+
UXT	HAT1	+
POLD2	RPA1	+
CLDN20	CLDN10	0
PTK2B	MAP2K3	+
LCK	SIGLEC10	+
IGF1	PIN1	+
CHRM1	AGT	0
RPL28	RPS21	0
PRKAB2	MLXIPL	-
ACTA1	RHOA	+
HSPB1	PSMB5	0
CSNK1E	TSGA14	0
KRAS	SNCA	+
NTRK3	KRAS	+
POLR2K	BRCA1	-
TNFSF11	TNFRSF11B	+
PCNT	DYNC1H1	0
FGF13	SHC3	0
PSMB2	PSMD7	0
CDC25A	MAP3K5	-
PTGS2	PRKAB1	+
MMS19	HDAC3	0
PLCD3	PRKCB	0
FOSB	TH	-
CBLC	CBL	0
EPB41	ACTIN	0
ITGA3	EGFR	+
CAV1	TGFBR1	0
MAP2K1	ELK1	+
CALML3	PPP3R2	+
PEBP1	MAP2K6	-
PSMB5	CDK2	+
SRC	FGF21	-
PAK1	MAX	+
CEP135	CETN2	0
CDK2	PSMD9	+
RPL37	RPS20	0
RPS11	UBC	0
RPS6	RPS24	0
TLR6	IKBKG	+
PTP4A1	CCNA2	+
UBE3A	PSMA5	0
SOCS4	CSF3R	-
TP53	CFLAR	+
EDN1	PRL	+
CHUK	MAP4K4	0
MAD2L2	ANAPC1	-
UBQLN1	ANAPC5	+
GSK3B	GLI2	-
PDGFD	GAB1	+
FGFR2	MAPK1	+
RPL41	RPS20	0
FANCD2	C17orf70	+
SOCS7	GHR	-
TGM2	PLCB2	+
IGFBP2	TP53	-
RPS6KB1	HSF1	+
HDAC5	GNG2	0
RBL1	MXI1	-
CCNA1	CCNA2	0
PSMA3	PSMD2	0
FOXO1	ANGPT2	+
PDE6C	PDE6H	0
GAB1	GFRA1	0
MATK	HLCS	+
PAAF1	ANAPC4	+
CSF2RB	STAT5A	+
AR	JUN	0
LCK	PIK3R1	0
CCND1	KLK3	-
RHOA	PRKCSH	+
DUSP7	MAPK12	-
PSMA5	FZR1	+
NUTF2	RAN	0
CNR1	CACNA2D1	+
ARRB1	CYTH2	0
ATG12	ATG5	0
PAAF1	ANAPC10	+
HSPB1	RAD23B	0
STK16	IRF3	+
GNAI3	RAPGEF4	+
ANAPC1	CCNB3	-
CCR1	GNAI3	+
MAP2K1	FRS2	-
PSMA1	TRIP12	0
ENPP2	PLAU	+
MMS19	INTS3	0
DUSP8	MAPK1	-
PSMF1	PSMC1	0
SHC1	ILK	+
TRB@	CSK	-
RPL37	RPS10	0
NRTN	RET	+
HBA1	UBC	0
RPL36	RPS14	0
VTN	ILK	+
AKT1	MLST8	+
PSMA8	PSMC2	0
ZAP70	PAG1	-
IL3	PIM1	+
SKI	SMAD2	-
HPGD	ECM1	-
HLA-G	KLRC1	+
EPN3	RET	0
BRAF	YWHAH	+
ADCY1	PRKACB	+
TRIM25	CDK7	+
NRBP2	TRIP10	+
PSMD2	CUL5	+
FOXM1	SP1	0
ZFHX3	MUC5AC	-
ITGA1	DPF2	-
GNAI1	S1PR1	0
UBR1	EXOC6B	0
CEP135	SSNA1	0
PSMD4	PSME3	0
HBA1	RPS24	0
SMAD4	NUP214	0
CAPN1	PIK3R1	+
TPR	NUP93	0
FGF14	SDC2	0
PSMD4	PSMB10	0
CACNA1E	CACNA1F	0
EP300	NOTCH1	0
CTNNB1	GJA1	+
CEP152	PCNT	0
PDGFRB	STAT5B	0
AURKB	FEV	+
MYH1	LOC646821	0
RAF1	PHAX	+
CDK4	HLCS	+
JAK2	IL12B	0
CEP76	CEP72	0
CEP70	AZI1	0
CXCL12	RAP2B	+
DYNC1I2	TUBB4	0
CTNND1	IGF1	-
ETS1	PGF	+
NCOA3	MYC	+
IGHE	PIK3R1	+
FRS2	FGF20	0
EIF5B	RPS3A	+
TLR1	LY96	0
CCNE1	CDKN1C	-
STK40	PSMA6	+
PSMB8	PSMB9	0
JAK2	IL2	-
TNF	IFNG	-
SOCS4	EPOR	-
RPL5	RPL10	0
IL2	PRKCE	+
ITGA2B	TLN2	0
BUB1	ZYX	+
NR1I3	CYP1A2	+
GADD45A	MAP3K4	0
PTK2	PIK3CD	+
RAC3	NCKAP1	-
FGR	SHC1	+
ABL1	SOS1	+
TRAF2	MAP4K5	+
RPL5	RPL30	0
ITGB2	ICAM2	+
CDK5RAP2	SDCCAG8	0
PGF	VEGFA	+
ROCK1	MYH6	+
SDCCAG8	CETN2	0
SNCA	TRIP12	-
ADRBK2	CCR9	+
MAPK14	NR3C1	+
PPYR1	H3F3B	+
HSPB1	ACTB	0
IL11	IL6ST	+
FGF13	MAPK3	+
SERPINF2	LCP1	-
MAP2K7	TRIM21	+
ARL6IP5	SLC1A3	-
GATA1	DDAH2	+
MAPK12	JUN	+
PPP2R5C	BCL2	-
EIF2S2	RPS15A	+
NTF3	SH2B2	+
CASP7	EIF4G3	+
SSTR1	PTPRU	+
CRK	CBLC	0
PSME2	PSMD10	0
GHR	STAT5B	0
BUB3	LOC650621	-
CNR1	CACNA1C	+
PPARGC1A	PPARGC1A	+
SNRNP70	SNRPB2	0
CNR2	GNAO1	+
PLCG1	GSN	+
MYC	COL1A2	-
PTPRR	MAPK11	-
EPHA1	EFNA1	0
CSF3	MAPK3	+
DYRK4	PHAX	+
FGF20	PIK3R1	+
ADCY7	PRKX	+
NUP93	CPSF1	+
PPP2R5D	PPP2R5E	0
MAPK1	GAB1	-
CDK6	ZHX1	+
CDC25A	CCND1	+
RPL10	RPL22	0
LBP	VCAM1	+
RASGRP3	CACNG7	0
HDAC6	HDAC11	0
FYN	SDC2	+
HSP90AA1	CEP70	0
INS	RPN2	0
MAP3K7	MAPK3	+
POM121	SNRPE	+
CRP	CD40	+
IL10RA	IL10RB	0
LMO7	ACTN4	0
EIF4EBP1	EIF4E2	-
SNRPB	SNRPD2	0
STAT6	THY1	+
ITCH	FGFR3	-
FYN	EPHA2	-
PSMB5	PSMD11	0
RGS9	PDE6H	+
PPP2R5D	PKN1	0
IL12RB1	STAT4	-
MAP3K14	MAP3K8	0
POLR2A	POLR2K	0
GNAI2	ADCY6	-
MS4A2	VAV1	+
SOS1	UGCG	+
SMAD3	FOXO4	0
SUMO1	HDAC1	+
NEDD4L	FGFR4	-
STAT1	STAT5B	0
IL2RB	DOK2	+
EIF1AX	RPS28	+
IL12RB1	TBX21	+
DNM1	NGF	+
PIP5K1A	WAS	+
KDM3A	KLK3	+
IL2	STAT5B	+
EGFR	CRK	0
PSME3	ANAPC10	+
CCL8	CXCR1	+
CEBPD	SFTPD	+
TNR	ITGA5	+
TRADD	SMPD1	+
SOCS1	IL4R	-
PRKCB	FLT1	+
CLDN10	CLDN8	0
NUP50	POM121	0
FANCB	FANCA	+
PRC1	RACGAP1	-
ITGA3	ITGB3	0
AAAS	RNPS1	+
NEK2	CEP135	0
ODF2	DCTN3	0
PPP2R1B	PPP2R5D	0
IHH	PTCH2	0
VAV1	MAPK8	+
CDK2	CDKN1B	+
EIF3B	EIF3G	0
PHGDH	GAD2	-
RPL38	RPS27	0
MAPKAPK5	POP7	+
BBS4	PCM1	+
RIPK2	CASP10	-
ODF2	CEP76	0
TP53	THBS1	+
TNFRSF11B	TNFSF11	-
NTF4	NGFRAP1	+
RPL11	RPS9	0
MYL6B	MYH11	0
CASP7	TNFRSF1A	+
SMAD7	SMAD1	-
MAPK9	NR3C1	+
SP1	MT2A	+
RPL38	RPS15	0
MET	STAT3	+
STK4	PPP1R13L	+
CLK2	RUVBL2	+
EPHA2	PLCG1	+
HNF1B	ALDOB	+
CDC42	TIAM1	+
ADRA1B	GNGT1	0
MAP2K1	MAP2K1	+
MAPK8	ATF2	+
TUBB	TUBA1A	0
MAPK9	PTK2B	+
FGF5	FGFR3	0
FHL2	ITGAM	0
EGFR	UBB	0
PAAF1	UBE2C	+
SERPINE1	LRP1	+
PRKDC	CDKN2D	+
IL6	SERPINE1	+
MYH11	MYL3	0
FGF11	MAPK1	+
FOS	VEGFC	+
PSMA5	PSMD10	0
BLNK	BCR	0
IL12A	CCL3	+
FAIM	CD40	+
MAP3K1	SMAD2	+
ARPC1A	ARPC2	0
RPS6KB1	RPS4X	+
NFKBIA	SRC	0
FBXW11	LOC728622	0
E2F1	CES4	+
ZFYVE20	PIK3R4	+
PSMD9	CDC23	+
STAT1	KIT	+
RPL5	RPS20	0
MAP3K2	PROK2	+
NEK2	CEP63	0
IL23R	NFKBIA	+
KIT	MTA1	+
CD2	PRKAR2A	+
CLDN15	CLDN17	0
PRDX3	MAOB	-
EIF2S1	RPS21	0
BCAP31	CASP8	-
FBXW11	FBXO43	-
RPSA	RPS16	0
PSMB8	IDE	0
FCER1G	SHC1	+
RPS6	RPS2	0
FOXO3	PIK3CG	+
IFNG	CCL2	+
PIK3R2	IRS2	0
CHP	NFATC3	+
RANBP2	HDAC4	+
ITGA3	PLAUR	0
CEBPB	EEF1A1	0
WNT1	TLE1	+
NFIC	POLR3F	+
PSMB1	CDK2	+
COL4A1	ITGA7	+
YWHAE	DCTN2	0
COL6A1	ITGA5	+
CSNK1E	SKAP1	+
DUSP7	MAPK14	-
ERCC5	TCEA1	+
MTOR	AKT1	+
IKBKB	TRAF6	0
RARA	KAT2B	0
AURKB	MDFI	+
SHROOM1	MYH1	0
TUBB4	GJA1	0
IL18	SAA1	+
CNTF	TH	+
IRF9	STAT5B	0
LAMB4	SV2C	+
PSMD3	CDK2	+
PSMB5	PSMB8	0
PIK3R1	STAT3	+
IL4	MS4A2	+
RYR3	CACNA1C	0
ENAH	ZYX	0
CD79A	RPS6KB1	+
MYH2	MYL3	0
PSMC6	PSMD9	0
DYNLL1	TUBA1A	0
CSNK2A1	HIRIP3	+
ARPC4	ACTR3	0
HDAC10	MBD2	0
RPL28	RPS12	0
CXCL12	CXCR2	+
GH1	STAT3	+
LRP8	CRKL	+
VIL1	HGF	+
GNAQ	HSPG2	+
TNF	TRAF1	0
SYK	YES1	0
SRPRB	INS	+
SPRY3	RASA1	+
PTPN11	PTPN11	+
MAX	NDRG2	-
RPL29	RPS17	0
RB1	NFYA	+
FLNB	ITGA2B	0
BMP6	ACVR1	+
COL17A1	DSP	0
PRKACA	GRIA1	+
PSMC6	POMP	0
FTL	RPS14	0
IL2RA	TYK2	+
NUP50	MAGOH	+
COL11A1	ITGA5	+
IFNG	TGFB2	-
SRC	CDH1	+
BMP4	NKX2-5	+
PIK3R1	GRB2	0
PSMB11	UCHL5	0
STK17A	PPP1R13L	+
EPS15	FGFR4	0
TH1L	POLR2A	0
NCAPD2	PRKAR2B	0
CACNG7	CACNA1D	0
PIN1	PPP2CA	0
SYK	LAT	+
SMC2	NCAPD2	0
ARHGEF5	RAC1	+
TYK2	HNRNPK	+
GPR132	CHEK1	+
HSPB1	UBE3A	0
FYN	SOX10	+
WNT5A	FZD10	+
LAMA3	LAMB2	0
ACTN1	CRKL	+
CACNB3	CACNA1I	0
FOSL1	NOS3	+
PLCG1	PRKCZ	0
MAX	PFKM	+
MTG1	WASF2	+
CREB3L2	CREB3L2	0
DOK2	RASA1	0
LYN	EPHA1	-
NUP153	NCBP2	+
RPL41	RPS27A	0
PSMF1	CKS1B	+
CEBPB	ID1	+
PSMD14	UBE2C	+
TP53	C12orf5	+
MAP2K1	IL8	+
CLSPN	ATRIP	0
CXCL1	XCR1	+
PIK3CG	PIK3R1	0
SNX6	NCK2	0
ARPC5	ARPC1B	0
PPP2R1A	SFN	+
CRLF2	TYK2	+
PPP2R1A	PPP2R1B	0
NUP155	SEH1L	0
MLLT4	JAM3	0
PIM1	TSC22D3	+
CTDP1	COBRA1	+
PPP4C	H2AFX	-
RPS9	RPS13	0
FYN	CTTN	+
ERCC3	RPA1	+
TCF7L1	MITF	+
CD151	PIK3CA	+
CSK	PIK3CG	+
MAPKAP1	AKT1	+
GTF2E1	GTF2A1	0
JUN	PTGS2	+
AKT1	ITGB1	+
CSK	INSR	0
HNRNPUL1	TP53	-
CX3CL1	RA4	+
TP73	BAX	+
TP53	DUSP1	+
MED1	APOA1	+
PAK7	RAC1	+
FGF2	SHC3	0
CXCL2	CCR4	+
RPL6	RPS13	0
MAPKAPK5	CSDE1	+
FN1	PRKAR1B	+
COL17A1	SMAD3	0
TLN1	PTK2	+
PCM1	CEP250	0
CSF3	FUT1	+
CAMK4	CREB1	+
PTPN11	KRAS	+
ANAPC11	HERC2	0
LIF	PLA2G4A	+
SFRP2	FZD1	-
HRAS	SDC2	+
PKN2	PRKCZ	-
EPS15	KIT	0
MAP2K6	MAPK14	+
PIK3R1	CBLB	0
SHC2	NRG1	0
PCM1	ALMS1	0
FGF9	PLCG1	+
PPARA	ACAA1	+
GDNF	MAPK14	+
FGFR1	DDX6	+
PARVG	ITGA10	0
HLA-A	CSK	-
CCNE2	ANAPC4	-
E2F1	HDAC1	0
PAK1	ARHGAP20	+
ACTG1	VCL	0
TNF	PLA2G4A	+
TNIP2	NFKB1	-
FYN	AGAP2	-
WNT5A	GNB1	+
VWF	ITGB6	+
NRAS	ARAF	+
CDK1	ACTR1A	0
RARB	KAT2B	0
CLDN3	CLDN5	0
CRPP1	ESAM	+
STK38	HLCS	+
KIF20A	PRC1	+
CD3G	CD8B	0
HERC2	AURKA	+
PIP5K1C	SCIN	-
PPBPL1	CCR4	+
SNCA	SLC6A3	0
TRIB3	UHMK1	+
PVRL3	PTPRM	+
PIP5K1C	LOC646821	0
LOC652799	PIK3R2	+
SYT1	FASLG	+
BCL2	COX5B	-
DOCK11	CDC42	0
PSMA5	PSMB7	0
EGF	PDGFRB	+
MAPK3	STMN1	+
TIMELESS	RFC3	0
PRL	CTNNB1	+
TP53	SFN	+
PSMC3	FZR1	+
WWP1	EGFR	-
PRKACA	MDFI	+
ITGA5	ITGB5	0
TP53	CLCA2	+
C17orf70	FANCB	0
FPR1	PLCB1	+
CASP3	PRKDC	+
TWSG1	HAMP	-
CREM	NFATC1	0
LBP	PTGS2	+
NFKBIA	NFKBIB	0
PF4	GNG2	+
FBXW11	CUL1	0
NFKB2	MAP3K14	0
PRKACG	CXCL12	0
CSTF3	PAPOLA	+
UBE3A	PSMD2	0
POM121	GCKR	+
SMAD2	SMAD7	+
SP1	ME1	-
JAK2	IL23A	0
SOCS7	PRLR	-
MAPK1	RBBP4	+
KAT2A	KAT2A	0
EXOC6B	PSMD9	0
CDK5	CDK2AP1	+
SH3KBP1	UBB	+
CCL14	CCR5	+
CLDN16	TJP3	0
IL1B	PIK3CA	0
CDH1	MET	-
PDPK1	ITGB1	+
NFKBIB	NFKB1	-
ERBB2	PIK3R1	+
MAPKAPK5	EXOSC5	+
RPS6KB1	DOK1	+
DOK6	GFRA1	0
IL2RB	SOCS3	+
PSME1	CDC20	+
CYFIP1	NCKAP1L	0
PSMB2	PSMB10	0
CREB3	CREBBP	-
BUB1	CDC20	+
VHL	CXCR4	-
CALM1	DAPK1	+
TRIP12	PSMB6	0
CLK1	SRPK1	+
PSMD5	UBE2C	+
KIT	SHC3	+
RPL21	RPS19	0
SDCCAG8	NEDD1	0
FASLG	AKT1	+
PDGFD	SOS1	+
GNAI1	GNAI1	+
XCL2	CCR9	+
PPP2R1A	FBXO43	+
MAPK8	KAT5	+
SAP30	HDAC9	0
POM121	SRRM1	+
ITGAV	PIK3CA	+
PLK4	CETN2	0
CCL4L2	CXCR3	+
HLA-DRA	SHC3	+
VTN	ITGA10	+
GNG8	PIK3CG	+
CREBBP	LEF1	0
CAMK2A	PRKCD	+
CD86	IL2RA	+
PRKAG1	ACACB	-
FOSL1	CCND1	+
PARP1	E2F1	+
ITGA6	ACTN1	0
UBQLN1	PSMA2	0
GNG5	PIK3R3	+
PSMD6	PSMB11	0
PSMB4	PSMD7	0
LEF1	CCND1	+
ITGAV	ITGB5	0
MMS19	SMAD4	-
BUB1B	ZZEF1	0
MAPK3	NR3C1	-
TUBA4A	CKAP5	0
SIRT1	ARNT	0
ATP1B3P1	MYO5C	+
EIF3L	EIF3C	0
CCNT2	POLR2J	+
ACTN2	BCAR1	0
S100A10	PLA2G4A	-
FKBP1A	SMAD3	-
INS	TNF	-
PLK1	PINX1	+
PLCG1	CHP	+
SMAD7	MAP3K7	+
CDH13	RAC1	+
RPL7	RPL21	0
PITX2	GNAS	-
PLCB4	PRKCD	+
SRA1	POLD3	+
FST	TGFB1	-
RASGRP3	TERF2IP	+
CD4	MAP4K1	+
PSMF1	PSMD9	0
RPS11	RPS20	0
AKT1	GNB1	+
APOE	LIPC	+
POLR2D	GTF2H1	0
SMAD4	RBL1	+
POMC	OPRK1	+
SRC	CD33	+
CACNB2	CACNA1D	0
PPP1R13B	BAX	+
PRKCE	ITGB6	+
CXCR6	ARRB2	0
GNB1	MAP3K7	+
PRKACA	GSK3B	+
INTS6	NCOR1	0
PSMD10	CDC20	+
PRKACA	EXOSC5	+
PIK3R3	TXK	+
PRKACG	MLXIPL	-
PRKCI	SQSTM1	0
FBXL5	NFKB1	-
NFATC4	PTGS2	+
HSP90AA1	PRKAR2B	0
TFF3	GH1	+
RPL30	RPS5	0
CASP3	PKN1	+
CCL28	CCR9	+
CEP76	OFD1	0
DYRK4	STUB1	+
RPL27A	RPLP2	0
SAP18	UBE2D1	0
NCK2	PAK7	+
CDH2	CTNND1	0
GNAI3	CD247	-
IRF7	IFNA16	+
CREBBP	MUC5AC	+
CCNE1	FOXM1	+
ERBB2	ERBB2IP	0
PAK4	ARHGEF6	+
PIN1	RPS6KB1	+
GSK3B	GYS2	-
GNAZ	SRMS	-
IRAK1	IRAK4	0
CDK4	TFDP1	-
SYK	STAT5B	+
MAPK12	CREB1	+
PSMC3	POMP	0
EDN3	EDNRB	+
MAGI3	LPAR2	0
SDC2	FGFR2	+
UBQLN1	CDC27	+
NGF	SMPD2	+
FYN	FYN	0
BDNF	SHC3	+
TNFSF11	TRAF6	+
CISH	PRKCQ	0
LIMK2	PTK2B	+
EBI3	STAT5A	+
NRAS	PIK3CG	0
JUNB	NFATC1	0
CTNNB1	HDAC9	-
FOXA1	SFTPD	+
COBRA1	FOSB	+
FGR	BLNK	0
POLR2K	POLR3H	0
ABCA1	LDLR	-
ADRA1D	GNA15	+
EDN1	MMP1	-
PSMD5	PSMB9	0
RPS6KB1	HNRNPK	+
SP1	COX2	-
RXRA	CPT1C	+
SUPT4H1	GTF2F2	0
UBE2S	CDC16	0
CDK5R1	ODF1	+
RPL5	RPS28	0
B2M	CD86	-
CSNK1D	CEP250	0
COL5A1	ITGA7	+
FGFR1OP	SFI1	0
LAMC1	ITGB7	+
CCL18	CCR2	+
UNC13B	VAMP2	+
GTF2H1	GTF2A1	0
RAD23B	CDK2	+
PPARGC1A	MEF2A	0
FRS2	FGF19	0
PRKAR2A	STMN1	+
GAB2	KRAS	-
CDC26	CCNB3	-
FADD	TNFRSF10A	0
RAC1	MUSK	+
CAMP	PRKACA	+
DOK1	YES1	0
ICOS	PIK3CB	+
FN1	ICAM1	+
EIF2S1	RPS3A	0
NR5A2	ERVK2	+
CSNK1E	CEP78	0
FGR	EPHA1	-
LGALS1	COL1A2	-
APAF1	CASP7	+
FYN	SRC	0
MYC	DDIT3	-
SERPINE2	PRSS8	-
CDK1	EPN1	+
SFRP5	WNT9B	-
RPSA	RPL38	0
CACNA1S	CACNG7	0
RPS6KA4	PPP1R13L	+
CDK4	EXOSC5	+
SMARCD1	GTF2F1	+
SMC4	NCAPG	0
GTF2F2	GTF2H4	0
NGFR	RHOC	-
BAIAP2	BAIAP2	0
IL8	EGFR	+
HERPUD1	ESM1	+
TRH	MARCKS	+
HSP90AA1	CEP135	0
OSM	EDN1	+
GGA3	CLTB	-
CCL22	CXCR1	+
PSMD2	UBE2E1	+
IGF1	PRKAB1	+
PRKAA2	HNF4A	+
KPNB1	RAN	0
EFNB2	NRAS	-
ATP8A2	CAMP	+
ANAPC4	ANAPC10	+
RPL10L	RPS11	0
FGF12	FGFR4	0
UCHL5	PSMB6	0
ZYX	ACTN2	0
CLDN23	OCLN	0
CD81	EZR	+
PTPN6	VAV1	-
FANCD2	TNFRSF1B	0
GCLC	TNF	-
PRKY	MLX	+
FOXM1	TGFA	+
MAP2K3	MAPK13	+
SPDEF	SQSTM1	+
RPL30	FXR2	0
RASGRP3	CACNG8	0
IL2RB	TNFRSF4	+
DCTN2	PRKAR2B	0
CD3E	CD80	-
S1PR1	GNGT1	0
MTG1	GCHFR	+
CCL3L3	CCR1	+
TBXA2R	GNB1	-
PRKACA	TUBG1	0
STK16	EEF1D	+
HDAC3	PPARG	-
HBA2	RPL34	0
PROC	ICAM1	-
PRKCD	EIF4ENIF1	+
FYN	CD3G	0
P2RX5	RYR3	0
CLDN3	CLDN14	0
CSNK1G1	YWHAE	+
PSMD11	PSMD14	0
ARPC1B	ACTR2	0
FGF4	FOS	+
RXRG	HMGCS2	+
C19orf40	FANCL	0
EIF5B	RPL3	+
RPL30	RPL39	0
GRK4	CCR1	+
EIF4B	RPS6	+
UCHL5	CDC23	+
MMP2	MMP14	0
PHGDH	HLA-A	+
CASP5	PTBP2	+
RAC2	PAK1	+
JUN	KLRC3	+
WWOX	TP73	-
ITPR1	PLCB4	0
FGFR2	PIK3R1	+
RRAGC	RPTOR	-
FZD1	DVL1	+
CAMKK1	MDM4	+
CAMK2A	CACNA1B	+
PPARG	CPT1A	+
STAT5A	PIM1	+
SLC18A2	SLC18A2	+
TGFB1	MAP3K7	+
HBA1	RPL11	0
CUL7	CDC23	0
NUP35	SEH1L	0
EIF2S2	RPS14	+
NTRK1	FRS2	0
S100A12	TLR2	0
COL1A1	BIRC5	+
MAX	EIF4A1	+
TUBB2C	PRKAR2B	0
RPLP0	RPS3A	0
RAPGEF2	TERF2IP	+
HNRNPR	FOS	+
IL1RAP	IRAK4	0
FGFR2	SH3GLB2	0
AKT1	RPS6KB2	+
PSMB5	PSMD4	0
IFNA21	IFNAR2	0
RPL35	UBC	0
MCM2	MCM7	0
RPS10	RPS19	0
FGF14	PDGFRB	+
MAPK1	PLAUR	+
MAP3K7IP1	MAP3K7IP3	0
IL2RG	SOCS3	+
FYN	TYROBP	+
PTK2B	TMSL3	+
FTL	RPLP0	0
UNC13B	RAB3GAP2	0
AGT	PLCG1	+
MAPK14	ETV1	-
CLDN16	CLDN5	0
FCGR3A	SYK	+
PLG	F2RL1	+
CSNK2A1	ZHX1	+
SUFU	RBBP4	0
BTK	CDK9	+
CCL4L1	CXCR5	+
NFIL3	PTH	-
SMURF2	FGFR2	-
VRK1	CREB1	+
SLC10A2	ANAPC5	+
FCGR2B	CSK	+
PSMB10	PSMC2	0
PLAU	ERVK6	-
SOCS1	CBL	-
DIAPH2	PFN4	+
MYLK2	MYLPF	+
LAMA3	YWHAZ	0
RPS4X	RPS16	0
RHOC	ROCK1	+
CASP6	EIF4A1	+
CLDN3	CLDN17	0
COL11A1	ITGB1	+
UNC5B	FYN	+
PSMA4	ANAPC5	+
LPL	APOA2	+
RPS6KA4	LUZP1	+
MAP3K5	MAPK8	+
ARNT	HMOX1	+
LOC650621	ANAPC5	+
SAP30	GLI3	-
GTF2H3	POLR2K	+
ATF4	CREBBP	-
ATF2	SMAD4	0
ITGAD	TLN1	0
RPL8	RPS17	0
PAK1	EIF4A3	+
JUN	MT2A	+
PMAIP1	BAK1	+
IL8	CXCL1	-
CCL2	IL6	+
GTF2H2	GTF2A1	0
YWHAG	PRKAR2B	0
TRAF2	CD40	0
PSMA6	PSMB6	0
PRKCB	SDC3	+
IL3	PRKACB	+
PF4	GNAI2	+
RPL5	UBB	0
ELK1	FOS	+
ARNT	COPS5	0
YWHAZ	MAP2K1	+
GNAI1	BCAR1	-
PRKAR2A	PXN	-
GNA15	GNG2	0
RPL36	MRPS7	0
WAS	ARPC4	+
FEN1	POLD4	+
EGLN2	HIF1A	+
RAB3IP	RAB8A	+
VEGFA	VCAM1	+
FGFR3	SH3KBP1	0
POLR2F	ERCC2	0
DVL2	VANGL1	0
GABRA2	GABRA4	0
PPP1R1B	PPA1	-
RHOA	FN1	+
ARPC3	RPS3	0
IL4	CASP3	-
