Source	Target	Sign	Network
EGR1	PDGFA	+	GRN
EGR1	ID3	+	GRN
EGR1	EGFR	+	GRN
EGR1	DUSP4	+	GRN
EGR1	CDKN1A	+	GRN
EGR1	FASLG	+	GRN
EGR1	CDK5R1	+	GRN
EGR1	HSD11B2	-	GRN
EGR1	PLAU	+	SN
EGR1	LHB	+	GRN
EGR1	TCF4	+	GRN
EGR1	PDGFC	+	SN
EGR1	FGF2	+	GRN
EGR1	ALOX5	+	GRN
EGR1	WNT4	-	SN
EGR1	MYB	-	GRN
EGR1	SYN1	+	GRN
EGR1	IL6	-	SN
EGR1	HIF1A	+	GRN
EGR1	RBL2	+	GRN
EGR1	PCSK2	+	GRN
EGR1	CCND1	+	GRN
EGR1	PLAUR	+	GRN
EGR1	CYP2B6	+	SN
EGR1	EP300	+	GRN
EGR1	RELA	-	GRN
EGR1	LMTK2	+	GRN
EGR1	GDF15	+	GRN
EGR1	FCER2	-	GRN
EGR1	STIM1	+	GRN
EGR1	ABCB1	+	GRN
EGR1	AR	-	GRN
EGR1	NAB2	+	GRN
EGR1	BCAR1	+	SN
EGR1	HYAL1	+	GRN
EGR1	FAS	-	SN
EGR1	APOA1	+	GRN
EGR1	UBE2S	+	GRN
EGR1	TNF	+	GRN
EGR1	CD19	+	SN
EGR1	CAT	+	GRN
EGR1	SLC9A3	+	SN
EGR1	ACE	+	GRN
EGR1	IGF2	+	GRN
EGR1	EGFR	+	GRN
EGR1	TP53	+	GRN
EGR1	CHGA	+	GRN
EGR1	ACHE	+	GRN
EGR1	SOD1	+	GRN
EGR1	IL3	+	GRN
EGR1	PTGES	+	GRN
EGR1	VEGFA	+	SN
EGR1	PTGS2	-	GRN
EGR1	PDGFB	+	GRN
EGR1	CD44	+	GRN
EGR1	LDLR	+	SN
EGR1	PTEN	+	GRN
EGR1	TMPO	+	GRN
EGR1	ATF3	+	GRN
EGR1	EAPP	+	GRN
EGR1	FN1	+	GRN
EGR1	COL2A1	-	GRN
EGR1	PTP4A1	+	GRN
EGR1	IL2	+	GRN
EGR1	SLC4A2	+	GRN
EGR1	MMP14	+	GRN
EGR1	F3	+	GRN
EGR1	CDKN1A	+	GRN
EGR2	FASLG	-	GRN
EGR3	NAB2	+	GRN
EHF	SPRR1B	+	GRN
EHMT1	CCND1	+	SN
EHMT2	DNMT3A	+	SN
EIF2A	ATF4	+	SN
EIF2AK2	TP53	+	SN
EIF2AK2	STAT1	+	SN
EIF2AK2	CDK1	-	SN
EIF2AK3	EIF2A	+	SN
EIF2AK3	NFE2L2	+	SN
EIF2AK3	APAF1	-	SN
EIF2AK4	MARS	-	SN
EIF2AK4	EIF2S1	+	SN
EIF2AK4	EIF2A	+	SN
EIF3F	NOTCH1	+	SN
EIF3I	TGFBR2	+	SN
EIF4A2	EIF4E	+	SN
EIF4E	SMAD4	+	SN
EIF4EBP1	EIF4E	-	SN
EIF4EBP1	RPTOR	-	SN
EIF4G1	EIF4E	+	SN
EIF4G2	CDK1	+	SN
EIF4G2	BCL2	+	SN
EIF4G2	XIAP	+	SN
EIF4G2	APAF1	+	SN
EIF5	EIF2S1	+	SN
ELANE	CXCL8	+	SN
ELAVL1	SIRT1	+	SN
ELAVL1	TP53	+	SN
ELAVL1	PTGS2	+	SN
ELAVL1	MYC	+	SN
ELAVL1	MDM2	+	SN
ELAVL1	CXCL8	+	SN
ELAVL1	FOS	+	SN
ELAVL1	ERBB2	+	SN
ELAVL1	CSF1R	+	SN
ELAVL1	CDKN1A	+	SN
ELAVL1	BRCA1	-	SN
ELAVL1	CCND1	+	SN
ELF1	MEIS1	+	GRN
ELF2	VCP	+	GRN
ELF3	SPRR2A	+	GRN
ELF4	TP53	-	GRN
ELK1	PSEN1	+	GRN
ELK1	FOSL1	+	GRN
ELK4	FOS	+	GRN
ELP1	MAPK8	+	SN
EN1	UTRN	-	GRN
ENC1	NFE2L2	-	SN
EP300	MEF2C	+	SN
EP300	MN1	+	SN
EP300	PLAGL2	+	SN
EP300	PLAG1	+	SN
EP300	SMAD7	+	SN
EP300	H3F3B	+	SN
EP300	MEF2D	+	SN
EP300	RUNX2	+	SN
EP300	SMAD3	+	SN
EP300	TDG	+	SN
EP300	HMGN1	-	SN
EP300	DDX5	+	SN
EP300	STAT3	+	SN
EP300	MYB	+	SN
EP300	HIF1A	+	SN
EP300	SMAD4	+	SN
EP300	RELA	+	SN
EP300	H2AFX	+	SN
EP300	DDX17	+	SN
EP300	DUSP1	+	SN
EP300	SMAD2	+	SN
EP300	MEF2A	+	SN
EP300	MAML1	+	SN
EP300	TP53	+	SN
EP300	KPNA2	+	SN
EP300	HIST1H3F	+	SN
EP300	WRN	+	SN
EP300	ZBTB16	+	SN
EP300	SMAD1	+	SN
EP300	FEN1	-	SN
EP300	STAT5A	+	SN
EP300	HIST1H2BJ	+	SN
EP300	HIST1H4D	+	SN
EP300	MYOD1	+	SN
EP300	FLI1	+	SN
EP300	H2AFZ	+	SN
EP300	CXCL8	+	SN
EP300	RECQL4	-	SN
EP300	RB1	+	SN
EP300	IRF1	+	SN
EP300	HDAC6	-	SN
EP300	E2F1	+	SN
EP300	CTNNB1	+	SN
EP300	BCL6	-	SN
EP300	ARNT	+	SN
EP300	AR	+	SN
EP300	PARP1	+	SN
EP400	CDKN1A	-	SN
EPAS1	SERPINE1	+	GRN
EPAS1	CA9	+	GRN
EPAS1	VEGFA	+	GRN
EPAS1	FLT1	+	GRN
EPGN	EGFR	+	SN
EPHA2	SHC1	+	SN
EPHA3	SRC	+	SN
EPHA3	CRK	+	SN
EPHA4	FYN	+	SN
EPHB2	SRC	+	SN
EPHB2	RASA1	+	SN
EPN1	EGFR	-	SN
EPO	DAPK2	+	SN
EPO	EPOR	+	SN
EPOR	STAT5A	+	SN
EPOR	PIK3R1	+	SN
EPOR	JAK2	+	SN
ERBB2	GRAP	+	SN
ERBB2	SHC3	+	SN
ERBB2	DOCK7	+	SN
ERBB2	ERBB3	+	SN
ERBB2	PAK1	+	SN
ERBB2	ERBB4	+	SN
ERBB2	PIK3R1	+	SN
ERBB2	SHC1	+	SN
ERBB2	PIK3CA	+	SN
ERBB2	GRB2	+	SN
ERBB2	PTGS2	+	SN
ERBB2	ESR1	+	SN
ERBB2	SNTA1	+	SN
ERBB2	PLCG1	+	SN
ERBB2	EGFR	+	SN
ERBB2	CDK1	-	SN
ERBB3	PIK3CG	+	SN
ERBB3	PIK3CB	+	SN
ERBB3	PIK3CD	+	SN
ERBB3	GRB7	+	SN
ERBB3	PIK3R1	+	SN
ERBB3	PIK3CA	+	SN
ERBB3	GRB2	+	SN
ERBB4	STAT5A	+	SN
ERBB4	PIK3CB	+	SN
ERBB4	PIK3CA	+	SN
ERBB4	MDM2	+	SN
ERBB4	GRB2	+	SN
ERBB4	ESR1	+	SN
ERBB4	CBFA2T3	-	SN
ERBB4	BAK1	+	SN
ERBIN	SMAD3	+	SN
ERBIN	SMAD2	+	SN
ERBIN	RIPK2	-	SN
ERBIN	NOD2	-	SN
ERCC6	TP53	-	SN
ERCC8	TCEA2	+	SN
ERCC8	HMGN1	+	SN
ERCC8	XPA	+	SN
ERCC8	XAB2	+	SN
EREG	ERBB3	+	SN
EREG	EGFR	+	SN
ERF	ETS2	-	GRN
ERG	FGF2	-	GRN
ERG	VWF	+	GRN
ERG	VIM	+	GRN
ERG	ENG	+	GRN
ERG	ICAM1	-	GRN
ERN1	MAPK8	+	SN
ERN1	XBP1	+	SN
ESCO1	SMC3	+	SN
ESCO1	RAD21	+	SN
ESPL1	SMC1A	+	SN
ESR1	ESR2	+	GRN
ESR1	NR0B2	+	SN
ESR1	IGF1	+	SN
ESR1	NCOA2	+	GRN
ESR1	FAM102A	+	GRN
ESR1	PPARG	+	GRN
ESR1	IGFBP4	+	SN
ESR1	TFF1	+	GRN
ESR1	NFE2L2	-	GRN
ESR1	TSKU	+	SN
ESR1	PIK3R1	+	SN
ESR1	CXCL12	+	GRN
ESR1	RXRA	+	GRN
ESR1	EBAG9	+	SN
ESR1	XBP1	+	GRN
ESR1	INA	+	SN
ESR1	CTSD	+	GRN
ESR1	GATA3	+	SN
ESR1	FOXO1	-	GRN
ESR1	MYC	+	GRN
ESR1	SLC2A1	+	SN
ESR1	B4GALT1	+	SN
ESR1	HSPD1	+	SN
ESR1	NME1	+	SN
ESR1	KRT8	+	GRN
ESR1	HSPA8	+	GRN
ESR1	PIK3R2	+	GRN
ESR1	CCND1	+	GRN
ESR1	AR	+	SN
ESR1	MACROD1	+	GRN
ESR1	JUN	+	SN
ESR1	TAC3	+	SN
ESR1	BTG2	-	SN
ESR1	HSPB1	+	SN
ESR1	SERPINE1	+	GRN
ESR1	NRF1	+	GRN
ESR1	ZFHX3	+	SN
ESR1	CD24	-	SN
ESR1	TFF1	+	GRN
ESR1	CYP2C19	-	GRN
ESR1	AR	+	SN
ESR1	PTMA	-	GRN
ESR1	BLM	+	SN
ESR1	FOXP1	+	SN
ESR1	TERT	+	GRN
ESR1	TGFA	+	SN
ESR1	PMAIP1	+	GRN
ESR1	E2F1	+	GRN
ESR1	CYP1A1	-	GRN
ESR1	TP53	-	SN
ESR1	RARA	+	GRN
ESR1	F12	+	SN
ESR1	JUNB	+	GRN
ESR1	VEGFA	+	GRN
ESR1	CRHBP	+	SN
ESR1	PLAC1	+	GRN
ESR1	UGT2B15	+	GRN
ESR1	PGR	+	GRN
ESR1	BCL2	+	GRN
ESR1	CDKN1B	-	GRN
ESR1	KDR	+	GRN
ESR1	CYP19A1	+	GRN
ESR1	KRT19	+	GRN
ESR1	CRH	-	SN
ESR1	GREB1	+	SN
ESR1	OXT	-	GRN
ESR1	NQO1	-	GRN
ESR1	CTNNB1	-	GRN
ESR1	CDKN1A	+	GRN
ESR2	RARA	+	SN
ESR2	ESR1	+	SN
ESR2	SERPINE1	-	GRN
ESR2	TFF1	+	GRN
ESRRA	CYP19A1	+	GRN
ESRRA	NR2F6	-	GRN
ETS1	ITGA11	+	GRN
ETS1	GFI1	-	GRN
ETS1	CD8A	+	GRN
ETS1	TBXA2R	+	GRN
ETS1	MYB	+	GRN
ETS1	VWF	+	GRN
ETS1	PTHLH	+	GRN
ETS1	PARP1	+	GRN
ETS1	CD3D	+	GRN
ETS1	PRL	+	GRN
ETS1	NDRG1	-	GRN
ETS1	CCND1	+	GRN
ETS1	ANGPT2	+	GRN
ETS1	BAX	-	GRN
ETS1	CSNK2A1	+	GRN
ETS1	MGAT5	+	GRN
ETS1	WT1	+	GRN
ETS1	CDK11A	+	GRN
ETS1	ZNF175	+	GRN
ETS1	ERG	+	GRN
ETS1	ABCB1	+	GRN
ETS1	FAS	+	GRN
ETS1	TERT	-	GRN
ETS1	CSF2	+	GRN
ETS1	IL2RB	+	GRN
ETS1	TBXAS1	-	SN
ETS1	GP6	+	GRN
ETS1	TNFSF14	+	GRN
ETS1	IL3	+	GRN
ETS1	TNC	+	GRN
ETS1	GP9	+	GRN
ETS1	MMP1	+	GRN
ETS1	MMP13	+	GRN
ETS1	PF4	+	GRN
ETS1	MMP9	+	GRN
ETS1	ECE1	+	GRN
ETS1	FOXD1	+	GRN
ETS1	MDM2	-	GRN
ETS1	IL5	+	GRN
ETS1	FLI1	+	GRN
ETS1	ANPEP	+	GRN
ETS1	KIAA1524	+	GRN
ETS1	LCK	+	GRN
ETS1	GRPR	+	GRN
ETS1	FLT1	+	GRN
ETS1	IL2	-	GRN
ETS1	TFAP2A	+	GRN
ETS1	EGR1	+	GRN
ETS1	RAD51	+	SN
ETS1	CHUK	+	GRN
ETS1	CSF3R	+	GRN
ETS1	BMP4	+	GRN
ETS1	TGFBR2	+	GRN
ETS1	SLC26A3	+	GRN
ETS2	PTHLH	+	GRN
ETS2	ANGPT2	+	GRN
ETS2	CGA	+	GRN
ETS2	MSR1	+	GRN
ETS2	ERG	+	GRN
ETS2	CSF2	+	GRN
ETS2	MMP9	+	GRN
ETS2	MDM2	+	GRN
ETS2	IL5	+	GRN
ETS2	FLI1	+	GRN
ETS2	ANPEP	+	GRN
ETS2	CHRNE	+	GRN
ETS2	CSF3R	+	GRN
ETS2	ICAM1	+	GRN
ETV3	NFKB1	-	GRN
ETV4	VIM	+	GRN
ETV4	ERBB2	-	GRN
ETV4	PTGS2	+	GRN
ETV4	AGTR1	+	GRN
ETV4	ETS1	+	GRN
ETV4	MMP7	+	GRN
ETV4	MUC4	+	GRN
EXOC2	TBK1	+	SN
EXTL1	SHH	-	SN
EYA1	FGF3	+	SN
EZH2	HIST1H3F	-	SN
EZH2	AR	+	SN
EZR	FES	+	SN
F2	GP9	+	SN
F2	F2RL3	+	SN
F2	F2RL2	+	SN
F2	LRP1	+	SN
F2	F2RL1	+	SN
F2	F2R	+	SN
F2R	GNA13	+	SN
F2R	GNAI1	+	SN
F2RL1	GNAQ	+	SN
F2RL3	GNA13	+	SN
F2RL3	GNAI1	+	SN
FADD	DEDD	+	SN
FADD	ATG5	+	SN
FADD	MYD88	-	SN
FADD	RIPK1	+	SN
FADD	CASP10	+	SN
FADD	CASP8	+	SN
FAM107A	AKT3	+	SN
FANCD2	FAN1	+	SN
FAS	FADD	+	SN
FAS	RIPK1	+	SN
FAS	CASP8	+	SN
FASLG	TNFRSF6B	+	SN
FASLG	FAS	+	SN
FBN1	TGFB1	+	SN
FBXO11	TP53	-	SN
FBXO11	BCL6	-	SN
FBXO31	CCND1	-	SN
FBXO5	CDH1	-	SN
FBXW11	SUFU	+	SN
FBXW11	NFKBIA	-	SN
FBXW11	SMAD4	+	SN
FBXW11	CTNNB1	+	SN
FBXW7	CCDC6	-	SN
FBXW7	NOTCH4	-	SN
FBXW7	DAB2IP	-	SN
FBXW7	PPARGC1A	-	SN
FBXW7	NCOA3	-	SN
FBXW7	CCNE1	+	SN
FBXW7	SERBP1	-	SN
FBXW7	TP63	-	SN
FBXW7	AURKA	-	SN
FBXW7	NOTCH1	+	SN
FBXW7	MYC	+	SN
FBXW7	JUN	-	SN
FBXW8	CCND1	-	SN
FCGR3A	LCK	+	SN
FER	STAT3	+	SN
FER	CTNNB1	+	SN
FER	AR	+	SN
FES	BCR	+	SN
FGA	ITGB1	+	SN
FGF1	FGFR4	+	SN
FGF1	FGFR2	+	SN
FGF1	FGFR3	+	SN
FGF1	FGFR1	+	SN
FGF10	FGFR2	+	SN
FGF11	SCN8A	-	SN
FGF11	SCN4A	-	SN
FGF12	SCN10A	-	SN
FGF12	SCN9A	-	SN
FGF12	SCN8A	-	SN
FGF12	SCN11A	-	SN
FGF12	SCN5A	-	SN
FGF12	SCN4A	-	SN
FGF12	SCN2A	-	SN
FGF12	SCN1A	-	SN
FGF12	SCN3A	-	SN
FGF13	SCN8A	-	SN
FGF13	SCN4A	-	SN
FGF14	SCN8A	-	SN
FGF14	SCN4A	-	SN
FGF16	FGFR2	+	SN
FGF16	FGFR3	+	SN
FGF17	FGFR2	+	SN
FGF18	FGFR2	+	SN
FGF19	FGFR2	+	SN
FGF19	FGFR3	+	SN
FGF19	FGFR1	+	SN
FGF2	FGFR2	+	SN
FGF2	FGFR3	+	SN
FGF22	FGFR2	+	SN
FGF3	FGFR2	+	SN
FGF3	FOXI1	+	SN
FGF4	FGFR4	+	SN
FGF4	FGFR2	+	SN
FGF5	FGFR2	+	SN
FGF5	FGFR1	+	SN
FGF6	FGFR2	+	SN
FGF7	FGFR2	+	SN
FGF8	FGFR2	+	SN
FGF9	FGFR3	+	SN
FGFR1	SYNCRIP	-	SN
FGFR1	SHB	+	SN
FGFR1	LDHA	+	SN
FGFR1	FRS2	+	SN
FGFR1	BCAR1	+	SN
FGFR1	PDK1	+	SN
FGFR1	CTTN	-	SN
FGFR2	GRAP	+	SN
FGFR2	GRB2	+	SN
FGFR3	STAT3	+	SN
FGFR3	STAT1	+	SN
FGFR4	STAT3	+	SN
FGFR4	STAT1	+	SN
FGR	SNCA	+	SN
FGR	PTK2	+	SN
FGR	HCLS1	+	SN
FHIT	CTNNB1	-	SN
FHL2	AR	+	SN
FHL5	CREM	+	SN
FKBP1A	TGFBR1	+	SN
FKBP1A	MTOR	-	SN
FKBP4	TRPV5	-	SN
FKBP8	MTOR	-	SN
FKBP8	BCL2L1	+	SN
FKBP8	BCL2	+	SN
FLI1	BCL2	+	SN
FLI1	ERG	+	GRN
FLI1	TERT	+	GRN
FLI1	GP6	+	GRN
FLI1	GP9	+	GRN
FLI1	ID2	+	GRN
FLI1	IGFBP3	-	GRN
FLI1	MPL	+	GRN
FLI1	EYA3	+	GRN
FLI1	TGFBR2	+	GRN
FLI1	GATA1	+	GRN
FLNA	MAP2K4	+	SN
FLT1	PLCG1	+	SN
FLT3	PIK3R1	+	SN
FLT3LG	FLT3	+	SN
FLT4	RPS6KA3	-	SN
FLT4	SHC1	+	SN
FMR1	PAK1	+	SN
FN1	ITGB1	+	SN
FNTA	MRAS	+	SN
FNTA	KRAS	+	SN
FNTA	HRAS	+	SN
FOS	JUN	+	GRN
FOS	CGA	+	SN
FOS	NFAT5	+	SN
FOS	CCND1	+	GRN
FOS	ACTA1	+	GRN
FOS	CREM	+	GRN
FOS	NOS2	+	GRN
FOS	CCND1	-	GRN
FOS	SP3	+	GRN
FOS	FAS	+	SN
FOS	DDIT3	+	GRN
FOS	EZR	+	GRN
FOS	ERCC4	+	GRN
FOS	MMP1	+	SN
FOS	PTGS2	+	GRN
FOS	SRR	+	GRN
FOS	HSPH1	+	GRN
FOS	SMAD7	+	GRN
FOS	NFKB1	-	GRN
FOS	MMP9	+	GRN
FOS	MYC	-	GRN
FOS	NEFL	+	GRN
FOS	CLU	-	GRN
FOSL2	NOS2	+	GRN
FOSL2	BRCA1	+	GRN
FOSL2	FOSL1	+	GRN
FOSL2	BCL6	+	GRN
FOSL2	MMP13	+	GRN
FOSL2	UGT2B15	+	GRN
FOSL2	CCR4	+	GRN
FOXA1	NFIB	+	GRN
FOXA1	NFIX	+	GRN
FOXA1	UGT2B17	+	GRN
FOXA1	SFTPB	+	GRN
FOXA1	NF1	+	SN
FOXA1	APOB	+	SN
FOXA1	ABCA1	-	GRN
FOXA1	CFTR	-	GRN
FOXA1	KRT7	+	GRN
FOXA1	RPRM	-	GRN
FOXA1	BCL2	-	GRN
FOXA1	HSPA1A	+	GRN
FOXA2	CDH1	+	GRN
FOXA2	PDX1	+	GRN
FOXA2	CFTR	-	GRN
FOXA2	APOA1	+	GRN
FOXD3	ZNF175	-	GRN
FOXG1	FOXO1	-	SN
FOXH1	SMAD2	+	SN
FOXL2	SIRT1	+	GRN
FOXL2	CYP19A1	-	GRN
FOXM1	AURKB	+	SN
FOXM1	PLK1	+	GRN
FOXM1	CCNB1	+	GRN
FOXM1	CYP7A1	+	GRN
FOXM1	CDC6	+	GRN
FOXM1	MYC	+	GRN
FOXM1	CDC25B	+	SN
FOXO1	G6PC	+	GRN
FOXO1	PPARG	-	GRN
FOXO1	TRIM63	+	SN
FOXO1	NOXA1	+	SN
FOXO1	BCL2L11	+	SN
FOXO1	MAML1	+	GRN
FOXO1	KLF4	+	GRN
FOXO1	NR1I2	+	GRN
FOXO1	NCOR2	-	GRN
FOXO1	IGFBP1	+	GRN
FOXO1	ATG7	+	GRN
FOXO1	AR	+	GRN
FOXO1	CDKN1C	+	GRN
FOXO1	CNR1	-	GRN
FOXO1	DAPK1	+	SN
FOXO1	PRL	+	GRN
FOXO1	CCND1	-	SN
FOXO1	CCNG2	+	GRN
FOXO1	CCNB1	-	SN
FOXO1	TNFSF10	+	SN
FOXO1	RPS6KA3	+	SN
FOXO1	CCNB2	-	SN
FOXO1	ABCB1	+	GRN
FOXO1	KLF2	+	GRN
FOXO1	MCM5	-	GRN
FOXO1	CNOT8	+	GRN
FOXO1	CDKN2D	+	GRN
FOXO1	TIMP3	-	SN
FOXO1	CDKN2B	+	GRN
FOXO1	TMEM47	+	GRN
FOXO1	CDKN1B	+	GRN
FOXO1	PDK4	+	GRN
FOXO1	AGRP	+	GRN
FOXO1	DAAM1	+	GRN
FOXO1	IGFBP1	+	GRN
FOXO1	DUSP4	-	SN
FOXO1	CCND2	-	SN
FOXO1	TXNIP	-	GRN
FOXO1	CDKN1A	+	GRN
FOXO3	BCL2L11	+	GRN
FOXO3	CDKN1B	+	GRN
FOXO3	ATM	+	SN
FOXO3	FASLG	+	GRN
FOXO3	PLAU	-	GRN
FOXO3	SOD2	+	GRN
FOXO3	PINK1	+	GRN
FOXO3	CCND1	-	SN
FOXO3	CCNG2	+	GRN
FOXO3	TNFSF10	+	GRN
FOXO3	BNIP3L	+	GRN
FOXO3	GADD45A	+	GRN
FOXO3	AR	+	SN
FOXO3	HBP1	+	GRN
FOXO3	BCL2L11	+	GRN
FOXO3	CITED2	+	GRN
FOXO3	JAK1	+	GRN
FOXO3	CDKN2D	+	GRN
FOXO3	BCL6	+	GRN
FOXO3	CDKN2B	+	GRN
FOXO3	SIRT1	+	GRN
FOXO3	FOXO1	+	GRN
FOXO3	STK11	+	GRN
FOXO3	CBLB	+	GRN
FOXO3	CCND2	-	GRN
FOXO3	TXNIP	+	GRN
FOXO3	GALT	+	GRN
FOXO4	SOD2	+	GRN
FOXO4	RBL2	+	GRN
FOXO4	TNFSF10	+	GRN
FOXO4	BCL6	+	GRN
FOXO4	PPARGC1A	+	GRN
FOXP1	KLK3	-	GRN
FOXP2	MET	-	GRN
FOXP2	PLAUR	+	GRN
FOXP2	CNTNAP2	-	GRN
FOXP3	IL2RA	+	GRN
FOXP3	CCR4	+	GRN
FOXP3	IL2	-	GRN
FRAT1	GSK3B	+	SN
FRAT2	GSK3B	-	SN
FRS2	PTPN11	+	SN
FRZB	WNT1	+	SN
FUBP1	MYC	+	SN
FURIN	NOTCH1	+	SN
FUS	BCL2L11	+	SN
FUS	BCL2L1	-	SN
FUS	BCL2	-	SN
FYN	CD79B	+	SN
FYN	SKAP1	+	SN
FYN	CD5	+	SN
FYN	FYB1	+	SN
FYN	AGAP2	+	SN
FYN	ARHGAP33	-	SN
FYN	TXK	+	SN
FYN	MED28	+	SN
FYN	SLAMF1	+	SN
FYN	JUP	+	SN
FYN	SCN5A	-	SN
FYN	GRIA1	+	SN
FYN	DLG4	+	SN
FYN	GRIN2A	+	SN
FYN	DOK1	+	SN
FYN	TUBA1A	+	SN
FYN	TGFB1I1	+	SN
FYN	VAV1	+	SN
FYN	WAS	+	SN
FYN	H3F3B	+	SN
FYN	CTLA4	+	SN
FYN	LCP2	+	SN
FYN	CD247	+	SN
FYN	SNCA	+	SN
FYN	MAPT	-	SN
FYN	PTPN11	+	SN
FYN	RPS6KA3	+	SN
FYN	MAP2	+	SN
FYN	NFE2L2	-	SN
FYN	CBL	+	SN
FYN	GRB10	+	SN
FYN	PXN	+	SN
FYN	SHC1	+	SN
FYN	ABL1	+	SN
FYN	MAPK14	+	SN
FYN	PRKCQ	+	SN
FYN	CTNND1	+	SN
FYN	CD79A	+	SN
FYN	LAT	+	SN
FYN	PTPRF	+	SN
FYN	CACNA1C	+	SN
FYN	CAV1	+	SN
FYN	TRPV4	+	SN
FYN	PLCG2	+	SN
FYN	GRIN2B	+	SN
FYN	PLCG1	+	SN
FYN	TRPC6	+	SN
FYN	ITPR1	+	SN
FYN	CTNNB1	+	SN
FYN	CHN2	-	SN
FYN	CDK5	+	SN
FZD3	GNB3	+	SN
FZD3	GNB1	+	SN
FZD3	GNA12	+	SN
FZD3	CXCL1	+	SN
FZD3	GNGT1	+	SN
FZD3	NLK	+	SN
FZD3	DVL1	+	SN
FZD3	GNA13	+	SN
FZD3	GNAQ	+	SN
FZD3	RHOA	+	SN
FZD7	GNAS	+	SN
GAB1	PTPN11	+	SN
GAB1	PIK3CA	+	SN
GAB1	GRB2	+	SN
GAB2	PTPN11	+	SN
GAB2	PIK3CA	+	SN
GAB2	AKT1	+	SN
GABPA	TXN	+	GRN
GABPA	TOMM70	+	SN
GABPB1	HCFC1	-	SN
GABPB2	HCFC1	-	SN
GADD45A	MAPK14	+	SN
GADD45A	CDK1	-	SN
GADD45GIP1	NFE2L2	-	SN
GAPDH	RHEB	-	SN
GAPDH	EDN1	-	SN
GAS1	SHH	+	SN
GAS6	MERTK	+	SN
GAS6	TYRO3	+	SN
GAS6	AXL	+	SN
GATA1	SPI1	-	GRN
GATA1	RUNX1	+	GRN
GATA1	TBXA2R	+	GRN
GATA1	WT1	+	GRN
GATA1	CYBB	+	GRN
GATA1	GP6	+	GRN
GATA1	PF4	+	SN
GATA1	EPO	+	GRN
GATA1	SPI1	-	GRN
GATA1	AGGF1	+	GRN
GATA1	HEMGN	-	GRN
GATA1	ALAS2	+	SN
GATA2	ICAM4	+	GRN
GATA2	HMGB1	+	GRN
GATA2	ARRDC4	+	GRN
GATA2	TNFAIP8L1	+	GRN
GATA2	PPARG	-	GRN
GATA2	WT1	+	GRN
GATA2	SGK1	-	GRN
GATA2	PLSCR2	+	GRN
GATA2	PNPLA8	-	GRN
GATA2	CTSH	+	GRN
GATA2	FCER1A	+	GRN
GATA2	PSD4	+	GRN
GATA2	AR	+	GRN
GATA2	TGFB2	-	GRN
GATA2	MS4A2	+	GRN
GATA2	APEX1	-	GRN
GATA2	CYBB	-	GRN
GATA2	EFCAB2	-	GRN
GATA2	FDPS	+	GRN
GATA2	ADH1A	+	GRN
GATA2	HTR5A	+	GRN
GATA2	PPP1R15A	+	GRN
GATA2	AMOTL1	+	GRN
GATA2	EPO	-	GRN
GATA2	CCRL2	+	GRN
GATA2	FOXO3	+	GRN
GATA2	CCM2	-	GRN
GATA2	MYC	+	GRN
GATA2	VWA5A	+	GRN
GATA2	GULP1	-	GRN
GATA2	LYL1	+	GRN
GATA2	GPR146	+	GRN
GATA2	NOS3	+	GRN
GATA2	GATA1	+	GRN
GATA3	FGF10	+	GRN
GATA3	CEBPB	-	GRN
GATA3	IL10	+	GRN
GATA3	CEBPA	-	GRN
GATA3	CD40LG	+	GRN
GATA3	CDH1	+	SN
GATA3	CD8A	+	SN
GATA3	FOXC1	-	GRN
GATA3	CDX2	+	GRN
GATA3	IL12RB2	-	GRN
GATA3	ERG	+	SN
GATA3	TEK	+	SN
GATA3	EPO	-	GRN
GATA3	IL5	+	GRN
GATA3	ZEB1	+	GRN
GATA4	NPPA	+	GRN
GATA4	ERBB2	-	GRN
GATA4	CYP17A1	+	GRN
GATA4	IL5	+	GRN
GATA4	NOS3	+	GRN
GATA6	CYP17A1	+	GRN
GCGR	GNAS	+	SN
GDF11	ACVR2B	+	SN
GDF15	ERBB2	+	SN
GDF6	BMPR2	+	SN
GDF6	BMPR1A	+	SN
GDI1	RAB3A	-	SN
GDNF	RET	+	SN
GFI1	ETS1	-	GRN
GFI1	BAX	-	SN
GFI1	BAX	-	SN
GFI1B	CDKN1A	-	SN
GFI1B	MEF2C	-	GRN
GH1	PRLR	+	SN
GH1	GHR	+	SN
GHR	STAT5A	+	SN
GHR	JAK2	+	SN
GHR	JAK1	+	SN
GHRL	GHSR	+	SN
GIT1	PLCG1	+	SN
GLI1	PTCH1	+	GRN
GLI1	HHIP	+	SN
GLI1	PTCH1	+	GRN
GLI1	EGR2	-	GRN
GLI1	SLIT2	-	SN
GLI1	BCL2	+	GRN
GLI1	IGFBP6	+	GRN
GLI1	SFRP1	+	GRN
GLI2	HHIP	+	GRN
GLI2	PTCH1	+	GRN
GLI2	GLI1	+	GRN
GLI2	PTCH1	+	GRN
GLI2	EFEMP1	-	GRN
GLI2	GLI1	+	GRN
GLI2	LUM	-	SN
GLI2	FAS	-	SN
GLI2	COL5A2	+	GRN
GLI2	FST	+	GRN
GLI2	WNT2B	+	SN
GLI2	BCL2	+	GRN
GLI2	FGF13	+	GRN
GLI2	PCNA	+	GRN
GLI2	UGCG	-	GRN
GLI2	IFNGR1	-	GRN
GLI2	FOXE1	+	GRN
