MS4A2	GRB2
GRB2	MTOR
PSMA7	CDK2
FCER1A	NFATC2
GRB2	ADAM12
MAP3K7	RAP1A
LRP6	CREBBP
SORT1	CASP6
PRKCH	CTTN
NFIB	LZTS1
DVL1	WASL
VEGFA	SPHK1
C19orf40	FANCD2
GRK5	TACR1
PSMD13	UBE2D1
RPS6	RPS17
FGF22	PLCG1
CDK5	CRY1
TYK2	STAT2
FGFR4	BMX
CDC42	MAP3K1
MAPK11	SP1
MDM2	FGFR2
LOC652799	STAT5B
PSMC6	PSMD5
GTF2H1	POLR2H
PTP4A3	RAC1
TICAM1	IRF3
CTSL1	CST3
PRKCQ	BCAR1
PLG	HRG
PLK1	BRCA2
INTS3	NCOR1
IL27	STAT2
ELK1	CCND1
POLR3A	POLR3D
GTF2H2	POLR2B
MLL	GTF2A2
IL4	SHC1
MAPKAPK2	ARPC5
FADD	TRADD
JAK2	PLCG1
RPL30	RPLP2
HECTD3	ANAPC1
TNC	ITGB5
CCNT1	POLR2L
PGR	PRKACG
CLCA1	MUC3A
SDCCAG8	AKAP9
FOXA1	APOB
NKIRAS2	NFKBIB
IFNG	CYP2E1
PTPN6	PIK3R1
TGFB1	PTEN
PSMB2	PSMB5
GABARAP	ATG7
RPLP0	RPS10
FKBP1A	MTOR
IRF3	CD40
PRKCZ	NFATC2
IFNA14	IFNG
LAMC3	YWHAH
SPDYA	CDK1
E2F1	GSPT1
POLR2A	CTDP1
NUAK1	PPP2R1B
RPL38	RPS4X
PAAF1	PSMD10
TH1L	POLR2E
IFNG	STAT1
PRKD1	PTPN6
RBPJ	SKP2
EFNB1	EPHB3
PIK3CA	CCND3
PSMC3	ANAPC5
GNAQ	GNG2
CD5	CD79B
LMO7	ACTN1
EIF2AK2	PRKCD
MBD2	HDAC9
GHRH	SST
CDK4	BCL3
CSF1	VEGFA
RPS13	RPS15A
MAPK8IP3	MAP2K7
GAB1	HRAS
CSNK2A1	ASAP3
BAG1	LGALS7
CRK	PXN
SRC	FGF2
HUS1	RPA2
GNG13	PREX1
KHDRBS1	CREBBP
RPS10	UBB
NUPL2	KPNA1
RXRA	ACOX2
TGFB1	GATA4
EPO	INHBA
CTNND1	HGF
NEK6	MFN1
CDKN1A	TFDP1
GNB1	PIK3R2
MYD88	TNF
CEP63	PCNT
PDGFRA	KRAS
CP110	SFI1
CCND2	E2F3
STK11	PRKAG3
IKBKB	TRAF1
PSMA7	UBR1
NTF3	MBP
IL12A	TYK2
LAMA2	RAC1
FCER1A	IGHE
KNG1	CTSG
SPI1	LYZ
CBLB	CSF1R
PRPF4B	MYRF
CRK	FRS2
LAMA3	DAG1
PSMB8	PSMD11
ACTIN	EZR
TRIP12	UBE3C
RPL35	RPL30
NCAPD3	NCAPD2
F3	ANXA2
SLC10A2	RAD23B
DUSP18	ITGB1
HSPA4	HSP90AA1
COL6A1	ITGA11
IL2RA	TNFRSF4
AKT1	CHFR
ARRB1	PIK3CA
PSMB11	PSMB2
CEP72	CEP70
RAC1	MMP2
GRK4	GNGT1
KDELR2	CLTB
HERC2	CDC16
PLCG2	PRKCG
IFNA5	PSME2
MAP3K14	RELB
IFNG	PIK3CG
EP300	NFKB1
CRYAB	CASP3
RPL26	RPLP2
CALML6	PPP3R2
FLNC	ITGB1
HBA1	HBA2
SAP18	SMAD2
CDKN1A	STAT3
ZZEF1	BUB1B
FGFR4	PIK3CA
BLK	FCGR2B
SOS1	MAP2K2
SMARCC2	GTF2A1
FGFR2	SH3GL3
RPL7	RPL29
ACVR2B	EGFR
CRKL	DOCK2
TP73	AEN
RPL7A	RPL41
DMD	CDC42
COL5A3	ITGB5
ITGA6	THY1
PSMD8	BTRC
ELP2	STAT3
SMARCA4	E2F1
FGFR2	FGF20
ADM	MRGPRX2
PSME2	PAAF1
PSMC3	SNCA
SNRPA1	SNRPB2
ABL1	CRK
TJP3	OCLN
PLK1	UBE2C
HDAC3	HIST2H2AC
COL5A2	ITGB6
RPL10L	RPL7
SHFM1	SLC10A2
SLC4A1	PTPN11
JAK2	LCK
RBBP7	SMAD2
CEP250	CP110
SNRPG	SNRPD1
CDON	SHH
JAK3	STAT5B
CDKN1A	AKT2
ARHGAP26	PTK2
MYCBP2	HECTD3
RPS4X	RPS24
PLCG2	CAMK2A
MAPK13	STAT1
GRB2	KRT17
AKT1	PPP1R13L
ARRB1	FZD1
RASGRP1	CACNG5
EP300	MUC2
MEF2D	MEF2A
PRKCE	PTPN6
RAD23B	SLC10A2
CTBP1	TCF3
CD3E	ITK
VCL	PXN
UBC	EIF3A
PPARG	SCD5
MYLPF	MYH13
ILK	PIK3CG
WDR77	AR
SFRP1	FZD2
POLR2B	FDXR
DYRK2	C13orf15
EIF1AX	EIF2S2
CD247	PRKAR2B
CRH	GAL
ARHGEF2	RAC1
TP63	HES1
IL2RB	STAM
CCNT2	POLR2F
CLSPN	CEP164
PSMA5	PSMC1
INPP5J	SKP2
HCK	PIK3R2
PRKCD	CAPN1
CCL26	CX3CR1
PSME1	ANAPC5
RAE1	CPSF1
MYD88	IRAK1
GDNF	DOK6
SNX9	WASL
PSMA7	PSMB6
IDE	ANAPC7
NUP43	GEMIN5
SUPT4H1	POLR2G
IL1A	IRAK2
ANAPC2	UBE2E1
CDC7	CDK2
IKBKG	NFKBIE
FGF2	IGF1R
WNT1	FZD3
ANKRD11	TP53
LAMB2	YWHAG
BTK	ZAP70
MAPK1	PPP1R9B
EGFR	FABP1
CSF2	FLT1
PLK1	CKAP5
ANXA2	PLG
TUBB2C	CEP250
PSMC4	PSMD6
NUP98	CPSF1
RBBP7	GLI3
IFNG	CD74
IL4	IL12RB2
PPP1CB	CALML5
EIF2AK2	TRAF6
FLT1	PIK3R1
ICAM3	CSF2
ZBTB17	HCFC1
CXCL11	CCR9
ZAP70	PRKACA
PTGS2	ANGPT2
GNG11	PLCB1
NOTCH3	RBPJL
SFRS12	SFRS3
GRB2	RHOU
FURIN	PCSK9
WNT3A	PI4K2A
CSNK1E	APC
IL15	LAMP1
MAP3K6	IKBKB
GRM1	GNA15
ARNT	SERPINE1
ODF2	PCNT
NUP62	MDM2
COL4A4	ITGA3
